"CLOSE_DEF_PERSON_ID","GP","G","DEFENSE_CATEGORY","FREQ","D_FGM","D_FGA","D_FG_PCT","NORMAL_FG_PCT","PCT_PLUSMINUS","DEF_PERSON_NAME"
"201143","81","81","Overall","1.000","6.31","13.74","0.459","0.471","-0.011","Al Horford"
"201143","81","65","3 Pointers","0.128","0.58"," 1.75","0.331","0.352","-0.021","Al Horford"
"201143","81","81","2 Pointers","0.872","5.73","11.99","0.478","0.499","-0.021","Al Horford"
"201143","81","81","Less Than 6 Ft","0.434","3.33"," 5.96","0.559","0.600","-0.041","Al Horford"
"201143","81","81","Less Than 10 Ft","0.605","4.22"," 8.31","0.508","0.550","-0.042","Al Horford"
"201143","81","80","Greater Than 15 Ft","0.315","1.60"," 4.33","0.370","0.382","-0.012","Al Horford"
"203471","78","78","Overall","1.000","2.41","5.59","0.431","0.434","-0.003","Dennis Schroder"
"203471","78","60","3 Pointers","0.314","0.64","1.76","0.365","0.339"," 0.026","Dennis Schroder"
"203471","78","78","2 Pointers","0.686","1.77","3.83","0.462","0.477","-0.015","Dennis Schroder"
"203471","78","56","Less Than 6 Ft","0.239","0.82","1.33","0.615","0.611"," 0.004","Dennis Schroder"
"203471","78","66","Less Than 10 Ft","0.365","1.12","2.04","0.547","0.540"," 0.007","Dennis Schroder"
"203471","78","75","Greater Than 15 Ft","0.546","1.14","3.05","0.374","0.360"," 0.014","Dennis Schroder"
"201952","77","77","Overall","1.000","3.42","8.52","0.401","0.438","-0.037","Jeff Teague"
"201952","77","74","3 Pointers","0.416","1.19","3.55","0.337","0.348","-0.011","Jeff Teague"
"201952","77","76","2 Pointers","0.584","2.22","4.97","0.446","0.479","-0.033","Jeff Teague"
"201952","77","57","Less Than 6 Ft","0.165","0.91","1.40","0.648","0.602"," 0.046","Jeff Teague"
"201952","77","65","Less Than 10 Ft","0.256","1.21","2.18","0.554","0.543"," 0.011","Jeff Teague"
"201952","77","77","Greater Than 15 Ft","0.662","1.99","5.64","0.353","0.370","-0.017","Jeff Teague"
"203200","48","48","Overall","1.000","2.58","5.83","0.443","0.443"," 0.000","Justin Holiday"
"203200","48","42","3 Pointers","0.311","0.60","1.81","0.333","0.353","-0.020","Justin Holiday"
"203200","48","45","2 Pointers","0.689","1.98","4.02","0.492","0.481"," 0.012","Justin Holiday"
"203200","48","40","Less Than 6 Ft","0.357","1.19","2.08","0.570","0.603","-0.033","Justin Holiday"
"203200","48","42","Less Than 10 Ft","0.429","1.46","2.50","0.583","0.545"," 0.038","Justin Holiday"
"203200","48","45","Greater Than 15 Ft","0.504","0.96","2.94","0.326","0.369","-0.043","Justin Holiday"
"203145","73","73","Overall","1.000","3.58","8.63","0.414","0.445","-0.031","Kent Bazemore"
"203145","73","66","3 Pointers","0.362","1.08","3.12","0.346","0.353","-0.007","Kent Bazemore"
"203145","73","72","2 Pointers","0.638","2.49","5.51","0.453","0.487","-0.034","Kent Bazemore"
"203145","73","59","Less Than 6 Ft","0.211","1.10","1.82","0.602","0.608","-0.007","Kent Bazemore"
"203145","73","68","Less Than 10 Ft","0.308","1.48","2.66","0.557","0.556"," 0.000","Kent Bazemore"
"203145","73","72","Greater Than 15 Ft","0.589","1.81","5.08","0.356","0.371","-0.015","Kent Bazemore"
"2550","42","42","Overall","1.000","2.45","5.48","0.448","0.433"," 0.015","Kirk Hinrich"
"2550","42","30","3 Pointers","0.309","0.60","1.69","0.352","0.334"," 0.018","Kirk Hinrich"
"2550","42","39","2 Pointers","0.691","1.86","3.79","0.491","0.473"," 0.018","Kirk Hinrich"
"2550","42","25","Less Than 6 Ft","0.213","0.83","1.17","0.714","0.596"," 0.118","Kirk Hinrich"
"2550","42","29","Less Than 10 Ft","0.326","1.12","1.79","0.627","0.542"," 0.085","Kirk Hinrich"
"2550","42","39","Greater Than 15 Ft","0.578","1.02","3.17","0.323","0.362","-0.039","Kirk Hinrich"
"2743","53","53","Overall","1.000","3.23","6.64","0.486","0.466"," 0.020","Kris Humphries"
"2743","53","35","3 Pointers","0.188","0.43","1.25","0.348","0.350","-0.001","Kris Humphries"
"2743","53","53","2 Pointers","0.813","2.79","5.40","0.517","0.499"," 0.019","Kris Humphries"
"2743","53","47","Less Than 6 Ft","0.389","1.51","2.58","0.584","0.604","-0.020","Kris Humphries"
"2743","53","49","Less Than 10 Ft","0.551","1.85","3.66","0.505","0.552","-0.047","Kris Humphries"
"2743","53","44","Greater Than 15 Ft","0.347","1.08","2.30","0.467","0.364"," 0.104","Kris Humphries"
"2594","78","78","Overall","1.000","4.53","10.50","0.431","0.441","-0.010","Kyle Korver"
"2594","78","77","3 Pointers","0.332","1.22"," 3.49","0.349","0.350","-0.001","Kyle Korver"
"2594","78","78","2 Pointers","0.668","3.31"," 7.01","0.472","0.484","-0.012","Kyle Korver"
"2594","78","71","Less Than 6 Ft","0.278","1.82"," 2.92","0.623","0.607"," 0.016","Kyle Korver"
"2594","78","74","Less Than 10 Ft","0.391","2.27"," 4.10","0.553","0.547"," 0.006","Kyle Korver"
"2594","78","78","Greater Than 15 Ft","0.513","1.96"," 5.38","0.364","0.363"," 0.001","Kyle Korver"
"203934","32","32","Overall","1.000","1.81","4.03","0.450","0.441"," 0.008","Lamar Patterson"
"203934","32","28","3 Pointers","0.442","0.72","1.78","0.404","0.331"," 0.072","Lamar Patterson"
"203934","32","24","2 Pointers","0.558","1.09","2.25","0.486","0.487","-0.001","Lamar Patterson"
"203934","32","17","Less Than 6 Ft","0.225","0.63","0.91","0.690","0.614"," 0.076","Lamar Patterson"
"203934","32","21","Less Than 10 Ft","0.302","0.72","1.22","0.590","0.550"," 0.040","Lamar Patterson"
"203934","32","32","Greater Than 15 Ft","0.605","0.97","2.44","0.397","0.354"," 0.044","Lamar Patterson"
"203488","52","52","Overall","1.000","2.77","5.27","0.526","0.463"," 0.063","Mike Muscala"
"203488","52","23","3 Pointers","0.113","0.25","0.60","0.419","0.344"," 0.076","Mike Muscala"
"203488","52","51","2 Pointers","0.887","2.52","4.67","0.539","0.494"," 0.045","Mike Muscala"
"203488","52","46","Less Than 6 Ft","0.518","1.58","2.73","0.577","0.609","-0.031","Mike Muscala"
"203488","52","48","Less Than 10 Ft","0.723","2.15","3.81","0.566","0.549"," 0.016","Mike Muscala"
"203488","52","34","Greater Than 15 Ft","0.223","0.46","1.17","0.393","0.378"," 0.016","Mike Muscala"
