GROUP_SET,PLAYER_ID,PLAYER_NAME,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,CFID,CFPARAMS
Assisted By,203145.0,"Bazemore, Kent",42.0,42.0,1.0,3.0,3.0,1.0,1.036,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203145
Assisted By,203501.0,"Hardaway Jr., Tim",6.0,6.0,1.0,3.0,3.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203501
Assisted By,2743.0,"Humphries, Kris",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,2743
Assisted By,2594.0,"Korver, Kyle",30.0,30.0,1.0,5.0,5.0,1.0,1.083,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2594
Assisted By,202714.0,"Mack, Shelvin",5.0,5.0,1.0,3.0,3.0,1.0,1.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202714
Assisted By,200794.0,"Millsap, Paul",45.0,45.0,1.0,12.0,12.0,1.0,1.133,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200794
Assisted By,203934.0,"Patterson, Lamar",7.0,7.0,1.0,1.0,1.0,1.0,1.071,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203934
Assisted By,203471.0,"Schroder, Dennis",81.0,81.0,1.0,17.0,17.0,1.0,1.105,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,203118.0,"Scott, Mike",26.0,26.0,1.0,4.0,4.0,1.0,1.077,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203118
Assisted By,200757.0,"Sefolosha, Thabo",12.0,12.0,1.0,2.0,2.0,1.0,1.083,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200757
Assisted By,201168.0,"Splitter, Tiago",6.0,6.0,1.0,1.0,1.0,1.0,1.083,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201168
Assisted By,201952.0,"Teague, Jeff",169.0,169.0,1.0,37.0,37.0,1.0,1.109,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201952
Assisted By,203145.0,"Bazemore, Kent",9.0,9.0,1.0,4.0,4.0,1.0,1.222,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203145
Assisted By,203501.0,"Hardaway Jr., Tim",12.0,12.0,1.0,6.0,6.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203501
Assisted By,201143.0,"Horford, Al",28.0,28.0,1.0,14.0,14.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201143
Assisted By,2594.0,"Korver, Kyle",7.0,7.0,1.0,3.0,3.0,1.0,1.214,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2594
Assisted By,202714.0,"Mack, Shelvin",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,202714
Assisted By,200794.0,"Millsap, Paul",25.0,25.0,1.0,13.0,13.0,1.0,1.26,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200794
