"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts"
1,21500001,"NBA",0,2015,"2015-10-27",1,0,"ATL",NA,94,1561.84355,1551.7888278525,NA,"DET",NA,106,1472.0588,1492.60599752762,"H","L",0.748850096731293,"E","E",0,94,106
1,21500001,"NBA",1,2015,"2015-10-27",1,0,"DET",NA,106,1472.0588,1492.60599752762,NA,"ATL",NA,94,1561.84355,1551.7888278525,"A","W",0.251149903268707,"E","E",1,106,94
2,21500002,"NBA",0,2015,"2015-10-27",1,0,"CHI",NA,97,1569.533975,1573.94410810685,NA,"CLE",NA,95,1645.314425,1644.04937623305,"H","W",0.534798385953712,"E","E",1,97,95
2,21500002,"NBA",1,2015,"2015-10-27",1,0,"CLE",NA,95,1645.314425,1644.04937623305,NA,"CHI",NA,97,1569.533975,1573.94410810685,"A","L",0.465201614046288,"E","E",0,95,97
3,21500003,"NBA",0,2015,"2015-10-27",1,0,"GSW",NA,111,1742.966075,1745.99811330673,NA,"NOP",NA,95,1521.178175,1517.38822744224,"H","W",0.864403962323103,"W","W",1,111,95
3,21500003,"NBA",1,2015,"2015-10-27",1,0,"NOP",NA,95,1521.178175,1517.38822744224,NA,"GSW",NA,111,1742.966075,1745.99811330673,"A","L",0.135596037676897,"W","W",0,95,111
4,21500004,"NBA",0,2015,"2015-10-28",1,0,"ORL",NA,87,1360.168625,1358.22735073024,NA,"WAS",NA,88,1535.828375,1538.82251960316,"H","L",0.392805990954004,"E","E",0,87,88
4,21500004,"NBA",1,2015,"2015-10-28",1,0,"WAS",NA,88,1535.828375,1538.82251960316,NA,"ORL",NA,87,1360.168625,1358.22735073024,"A","W",0.607194009045996,"E","E",1,88,87
5,21500005,"NBA",0,2015,"2015-10-28",1,0,"BOS",NA,112,1519.678625,1523.52524158414,NA,"PHI",NA,95,1333.391825,1328.78202776407,"H","W",0.838620466057463,"E","E",1,112,95
5,21500005,"NBA",1,2015,"2015-10-28",1,0,"PHI",NA,95,1333.391825,1328.78202776407,NA,"BOS",NA,112,1519.678625,1523.52524158414,"A","L",0.161379533942537,"E","E",0,95,112
6,21500006,"NBA",1,2015,"2015-10-28",2,0,"CHI",NA,115,1573.94410810685,1587.19087992649,NA,"BKN",NA,100,1469.5529,1459.90820752087,"A","W",0.506319119981456,"E","E",1,97,100
6,21500006,"NBA",0,2015,"2015-10-28",1,0,"BKN",NA,100,1469.5529,1459.90820752087,NA,"CHI",NA,115,1573.94410810685,1587.19087992649,"H","L",0.493680880018544,"E","E",0,100,115
7,21500007,"NBA",0,2015,"2015-10-28",2,0,"DET",NA,92,1492.60599752762,1498.4081085791,NA,"UTA",NA,87,1542.71405,1540.64092758442,"H","W",0.571310787174538,"E","W",1,106,87
7,21500007,"NBA",1,2015,"2015-10-28",1,0,"UTA",NA,87,1542.71405,1540.64092758442,NA,"DET",NA,92,1492.60599752762,1498.4081085791,"A","L",0.428689212825462,"W","E",0,87,92
