"game_id","team_id","gameorder","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","pts","elo_i","elo_n","opp_id","opp_pts","opp_elo_i","opp_elo_n","game_location","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts","ref_id1","ref_id2","ref_id3","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","to","pf","tm_pts_avg","plus_minus","off_rating","def_rating","net_rating","ast_pct","ast_tov","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","usg_pct","pace","pie","avg_pie","max_usg","all_start","p1_start","p2_start","p3_start","p4_start","p5_start","away_streak","home_streak","loss_streak","win_streak","back_to_back","attendance","game_time"
21500001,"ATL",1,"NBA",0,2015,"2015-10-27",1,0,94,1561.84355,1552.80506127878,"DET",106,1472.0588,1487.76500568893,"H",0.748850096731293,"E","E",0,94,106,1193,2532,2534,48,37,82,0.451,8,27,0.296,12,15,0.8,7,33,40,22,9,4,15,25,94,-12,97.3,106.6,-9.3,0.595,1.47,17.5,0.163,0.589,0.404,0.155,0.5,0.53,0.2,98.02,0.462,0.0692,0.341,0,0,0,0,0,0,0,1,0,0,0,19187,2.18333333333333
21500001,"DET",1,"NBA",1,2015,"2015-10-27",1,0,106,1472.0588,1487.76500568893,"ATL",94,1561.84355,1552.80506127878,"A",0.251149903268707,"E","E",1,106,94,1193,2532,2534,48,37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,106,12,106.6,97.3,9.3,0.622,1.53,15.8,0.411,0.837,0.596,0.151,0.448,0.493,0.2,98.02,0.538,0.1336,0.23,0,0,0,0,0,0,1,0,0,0,0,19187,2.18333333333333
21500002,"CHI",2,"NBA",0,2015,"2015-10-27",1,0,97,1569.533975,1575.78212466724,"CLE",95,1645.314425,1643.78737549427,"H",0.534798385953712,"E","E",1,97,95,1162,2148,202049,48,37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,97,2,94.1,93.6,0.5,0.351,1,10.6,0.152,0.784,0.485,0.126,0.466,0.499,0.2,102.3,0.479,0.078,0.344,0,0,0,0,0,0,0,1,0,0,0,21957,2.36666666666667
21500002,"CLE",2,"NBA",1,2015,"2015-10-27",1,0,95,1645.314425,1643.78737549427,"CHI",97,1569.533975,1575.78212466724,"A",0.465201614046288,"E","E",0,95,97,1162,2148,202049,48,38,94,0.404,9,29,0.31,10,17,0.588,11,39,50,26,5,7,10,21,95,-2,93.6,94.1,-0.5,0.684,2.36,18.8,0.216,0.848,0.515,0.108,0.452,0.468,0.198,102.3,0.521,0.1164,0.282,0,0,0,0,0,0,1,0,0,0,0,21957,2.36666666666667
21500003,"GSW",3,"NBA",0,2015,"2015-10-27",1,0,111,1742.966075,1748.17456979451,"NOP",95,1521.178175,1515.67483235538,"H",0.864403962323103,"W","W",1,111,95,1148,2002,202053,48,41,96,0.427,9,30,0.3,20,22,0.909,21,35,56,29,8,7,20,29,111,16,106,89.7,16.3,0.707,1.45,18.7,0.457,0.814,0.629,0.191,0.474,0.525,0.2,105.28,0.625,0.1382,0.341,0,0,0,0,0,0,0,1,0,0,0,19596,2.41666666666667
21500003,"NOP",3,"NBA",1,2015,"2015-10-27",1,0,95,1521.178175,1515.67483235538,"GSW",111,1742.966075,1748.17456979451,"A",0.135596037676897,"W","W",0,95,111,1148,2002,202053,48,35,83,0.422,6,18,0.333,19,27,0.704,8,25,33,21,9,3,18,26,95,-16,89.7,106,-16.3,0.6,1.11,15.6,0.186,0.543,0.371,0.179,0.458,0.501,0.198,105.28,0.375,0.0568,0.378,0,0,0,0,0,0,1,0,0,0,0,19596,2.41666666666667
21500004,"ORL",4,"NBA",0,2015,"2015-10-28",1,0,87,1360.168625,1358.72762475879,"WAS",88,1535.828375,1537.71903749115,"H",0.392805990954004,"E","E",0,87,88,2001,2715,203592,48,37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,14,22,87,-1,83.4,89.8,-6.4,0.541,1.25,14.2,0.333,0.722,0.533,0.153,0.395,0.413,0.197,101.14,0.482,0.1144,0.242,0,0,0,0,0,0,0,1,0,0,0,18846,2.35
21500004,"WAS",4,"NBA",1,2015,"2015-10-28",1,0,88,1535.828375,1537.71903749115,"ORL",87,1360.168625,1358.72762475879,"A",0.607194009045996,"E","E",1,88,87,2001,2715,203592,48,33,84,0.393,7,28,0.25,15,25,0.6,15,34,49,17,8,9,17,14,88,1,89.8,83.4,6.4,0.515,0.94,13.1,0.278,0.667,0.467,0.184,0.435,0.463,0.198,101.14,0.518,0.1338,0.299,0,0,0,0,0,0,1,0,0,0,0,18846,2.35
21500005,"BOS",5,"NBA",0,2015,"2015-10-28",1,0,112,1519.678625,1526.17882283393,"PHI",95,1333.391825,1326.7936834655,"H",0.838620466057463,"E","E",1,112,95,1179,2532,2534,48,39,85,0.459,8,24,0.333,26,27,0.963,10,31,41,31,10,7,17,23,112,17,107.8,92.1,15.7,0.795,1.82,21.4,0.238,0.689,0.471,0.164,0.506,0.578,0.2,103.5,0.63,0.0788,0.24,0,0,0,0,0,0,0,1,0,0,0,18624,2.23333333333333
21500005,"PHI",5,"NBA",1,2015,"2015-10-28",1,0,95,1333.391825,1326.7936834655,"BOS",112,1519.678625,1526.17882283393,"A",0.161379533942537,"E","E",0,95,112,1179,2532,2534,48,34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,22,22,95,-17,92.1,107.8,-15.7,0.353,0.5,9.3,0.311,0.762,0.529,0.233,0.452,0.51,0.197,103.5,0.37,0.0834,0.286,0,0,0,0,0,0,1,0,0,0,0,18624,2.23333333333333
21500006,"BKN",6,"NBA",0,2015,"2015-10-28",1,0,100,1469.5529,1462.06987929117,"CHI",115,1575.78212466724,1584.51095097038,"H",0.493680880018544,"E","E",0,100,115,1195,202007,202041,48,39,93,0.419,0,9,0,22,28,0.786,16,29,45,19,11,5,13,18,100,-15,97.7,113,-15.2,0.487,1.46,13.8,0.32,0.853,0.536,0.127,0.419,0.475,0.2,102.06,0.442,0.067,0.274,0,0,0,0,0,0,0,1,0,0,0,17732,2.21666666666667
21500006,"CHI",6,"NBA",1,2015,"2015-10-28",2,0,115,1575.78212466724,1584.51095097038,"BKN",100,1469.5529,1462.06987929117,"A",0.506319119981456,"E","E",1,97,100,1195,202007,202041,48,37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,97,2,94.1,93.6,0.5,0.351,1,10.6,0.152,0.784,0.485,0.126,0.466,0.499,0.2,102.3,0.479,0.078,0.344,1,1,1,1,1,1,1,0,0,1,1,17732,2.21666666666667
21500007,"DET",7,"NBA",0,2015,"2015-10-28",2,0,92,1487.76500568893,1496.28053282052,"UTA",87,1542.71405,1540.14154389668,"H",0.571310787174538,"E","W",1,106,87,1153,1198,203593,48,37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,106,12,106.6,97.3,9.3,0.622,1.53,15.8,0.411,0.837,0.596,0.151,0.448,0.493,0.2,98.02,0.538,0.1336,0.23,1,1,1,1,1,1,0,1,0,1,1,18434,2.31666666666667
21500007,"UTA",7,"NBA",1,2015,"2015-10-28",1,0,87,1542.71405,1540.14154389668,"DET",92,1487.76500568893,1496.28053282052,"A",0.428689212825462,"W","E",0,87,92,1153,1198,203593,48,35,75,0.467,2,12,0.167,15,21,0.714,4,34,38,15,4,5,12,25,87,-5,94.3,99,-4.6,0.429,1.25,13.5,0.103,0.81,0.469,0.13,0.48,0.516,0.2,92.6,0.482,0.113,0.283,0,0,0,0,0,0,1,0,0,0,0,18434,2.31666666666667
21500008,"CHA",8,"NBA",1,2015,"2015-10-28",1,0,94,1426.797875,1421.03189041305,"MIA",104,1468.145075,1477.00047665419,"A",0.30711114433866,"E","E",0,94,104,1193,1830,202026,48,33,84,0.393,6,24,0.25,22,29,0.759,11,32,43,16,4,1,8,16,94,-10,99.2,111.5,-12.3,0.485,1.78,13.1,0.22,0.941,0.512,0.095,0.429,0.486,0.198,94,0.409,0.0792,0.317,0,0,0,0,0,0,1,0,0,0,0,19724,2.31666666666667
21500008,"MIA",8,"NBA",0,2015,"2015-10-28",1,0,104,1468.145075,1477.00047665419,"CHA",94,1426.797875,1421.03189041305,"H",0.69288885566134,"E","E",1,104,94,1193,1830,202026,48,36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,104,10,111.5,99.2,12.3,0.639,1.77,19.5,0.059,0.78,0.488,0.139,0.575,0.632,0.2,94,0.591,0.1136,0.336,0,0,0,0,0,0,0,1,0,0,0,19724,2.31666666666667
21500009,"IND",9,"NBA",1,2015,"2015-10-28",1,0,99,1504.903475,1500.83343323747,"TOR",106,1501.545425,1510.06237877608,"A",0.364400344108606,"E","E",0,99,106,1174,1188,1363,48,32,86,0.372,9,23,0.391,26,31,0.839,8,32,40,23,14,3,13,30,99,-7,94.6,97.1,-2.5,0.719,1.77,17,0.163,0.78,0.444,0.124,0.424,0.497,0.2,106.9,0.477,0.0942,0.278,0,0,0,0,0,0,1,0,0,0,0,19800,2.58333333333333
21500009,"TOR",9,"NBA",0,2015,"2015-10-28",1,0,106,1501.545425,1510.06237877608,"IND",99,1504.903475,1500.83343323747,"H",0.635599655891394,"E","E",1,106,99,1174,1188,1363,48,36,80,0.45,7,18,0.389,27,39,0.692,9,41,50,19,8,2,20,24,106,7,97.1,94.6,2.5,0.528,0.9,13.9,0.22,0.837,0.556,0.192,0.494,0.545,0.198,106.9,0.523,0.1308,0.3,0,0,0,0,0,0,0,1,0,0,0,19800,2.58333333333333
21500010,"DEN",10,"NBA",1,2015,"2015-10-28",1,0,105,1443.02135,1470.87047330909,"HOU",85,1617.226925,1600.70939880244,"A",0.171014520169814,"W","W",1,105,85,1152,101283,201638,48,40,79,0.506,13,27,0.481,12,18,0.667,9,40,49,26,9,10,21,26,105,20,106.1,84.6,21.5,0.65,1.24,19.4,0.237,0.727,0.527,0.212,0.589,0.604,0.2,99.68,0.646,0.1586,0.303,0,0,0,0,0,0,1,0,0,0,0,18240,2.21666666666667
21500010,"HOU",10,"NBA",0,2015,"2015-10-28",1,0,85,1617.226925,1600.70939880244,"DEN",105,1443.02135,1470.87047330909,"H",0.828985479830186,"W","W",0,85,105,1152,101283,201638,48,30,87,0.345,8,35,0.229,17,26,0.654,15,29,44,17,13,8,16,19,85,-20,84.6,106.1,-21.5,0.567,1,12.8,0.273,0.763,0.473,0.169,0.391,0.432,0.198,99.68,0.354,0.078,0.305,0,0,0,0,0,0,0,1,0,0,0,18240,2.21666666666667
21500011,"CLE",11,"NBA",1,2015,"2015-10-28",2,0,106,1643.78737549427,1660.9920742032,"MEM",76,1582.509125,1566.34539527342,"A",0.444876940944316,"E","W",1,95,76,1204,101284,201640,48,38,94,0.404,9,29,0.31,10,17,0.588,11,39,50,26,5,7,10,21,95,-2,93.6,94.1,-0.5,0.684,2.36,18.8,0.216,0.848,0.515,0.108,0.452,0.468,0.198,102.3,0.521,0.1164,0.282,1,1,1,1,1,1,2,0,1,0,1,18119,2.13333333333333
21500011,"MEM",11,"NBA",0,2015,"2015-10-28",1,0,76,1582.509125,1566.34539527342,"CLE",106,1643.78737549427,1660.9920742032,"H",0.555123059055684,"W","E",0,76,106,1204,101284,201640,48,29,82,0.354,2,16,0.125,16,22,0.727,11,29,40,15,8,3,16,18,76,-30,78.6,107.6,-29,0.517,0.94,12.2,0.208,0.707,0.426,0.165,0.366,0.414,0.2,97.58,0.3,0.0664,0.238,0,0,0,0,0,0,0,1,0,0,0,18119,2.13333333333333
21500012,"MIL",12,"NBA",0,2015,"2015-10-28",1,0,97,1458.70355,1439.03624128571,"NYK",122,1318.01345,1347.91616967044,"H",0.799876648220653,"E","E",0,97,122,1147,2148,204059,48,30,86,0.349,9,18,0.5,28,31,0.903,18,29,47,17,7,4,18,27,97,-25,97.4,121.5,-24.2,0.567,0.94,12.6,0.375,0.604,0.49,0.181,0.401,0.487,0.2,100.02,0.354,0.066,0.32,0,0,0,0,0,0,0,1,0,0,0,18717,2.33333333333333
21500012,"NYK",12,"NBA",1,2015,"2015-10-28",1,0,122,1318.01345,1347.91616967044,"MIL",97,1458.70355,1439.03624128571,"A",0.200123351779347,"E","E",1,122,97,1147,2148,204059,48,42,93,0.452,9,23,0.391,29,35,0.829,19,30,49,24,11,7,11,28,122,25,121.5,97.4,24.2,0.571,2.18,16.7,0.396,0.625,0.51,0.11,0.5,0.563,0.2,100.02,0.646,0.0742,0.294,0,0,0,0,0,0,1,0,0,0,0,18717,2.33333333333333
21500013,"OKC",13,"NBA",0,2015,"2015-10-28",1,0,112,1563.671375,1574.53563005451,"SAS",106,1666.97255,1663.14995878315,"H",0.495249370245192,"W","W",1,112,106,1176,2529,202027,48,42,86,0.488,7,19,0.368,21,22,0.955,11,34,45,21,7,4,19,19,112,6,108,101.2,6.8,0.5,1.11,15.5,0.275,0.829,0.556,0.183,0.529,0.585,0.2,104.2,0.509,0.0944,0.359,0,0,0,0,0,0,0,1,0,0,0,18203,2.31666666666667
21500013,"SAS",13,"NBA",1,2015,"2015-10-28",1,0,106,1666.97255,1663.14995878315,"OKC",112,1563.671375,1574.53563005451,"A",0.504750629754808,"W","W",0,106,112,1176,2529,202027,48,45,93,0.484,5,15,0.333,11,13,0.846,7,29,36,22,11,9,13,18,106,-6,101.2,108,-6.8,0.489,1.69,16.5,0.171,0.725,0.444,0.124,0.511,0.537,0.2,104.2,0.491,0.0914,0.324,0,0,0,0,0,0,1,0,0,0,0,18203,2.31666666666667
21500014,"DAL",14,"NBA",1,2015,"2015-10-28",1,0,111,1543.68725,1554.47506941081,"PHX",95,1476.3812,1467.51168688973,"A",0.453088009939427,"W","W",1,111,95,1199,2002,200832,48,40,85,0.471,10,21,0.476,21,31,0.677,6,42,48,24,7,3,8,25,111,16,110.3,89.2,21.1,0.6,3,18.4,0.13,0.764,0.475,0.079,0.529,0.563,0.2,103.58,0.677,0.1768,0.23,0,0,0,0,0,0,1,0,0,0,0,18055,2.35
21500014,"PHX",14,"NBA",0,2015,"2015-10-28",1,0,95,1476.3812,1467.51168688973,"DAL",111,1543.68725,1554.47506941081,"H",0.546911990060573,"W","W",0,95,111,1199,2002,200832,48,34,87,0.391,6,24,0.25,21,33,0.636,13,40,53,15,3,3,18,30,95,-16,89.2,110.3,-21.1,0.441,0.83,11.2,0.236,0.87,0.525,0.169,0.425,0.468,0.2,103.58,0.323,-0.0202,0.231,0,0,0,0,0,0,0,1,0,0,0,18055,2.35
21500015,"NOP",15,"NBA",1,2015,"2015-10-28",2,0,94,1515.67483235538,1504.73242188017,"POR",112,1543.804175,1557.49614254296,"A",0.325697740679387,"W","W",0,95,112,1164,2714,202000,48,35,83,0.422,6,18,0.333,19,27,0.704,8,25,33,21,9,3,18,26,95,-16,89.7,106,-16.3,0.6,1.11,15.6,0.186,0.543,0.371,0.179,0.458,0.501,0.198,105.28,0.375,0.0815,0.378,0,1,1,1,1,0,2,0,1,0,1,19393,2.11666666666667
