"game_id","team_id","gameorder","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","elo_i","opp_id","opp_elo_i","game_location","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts","ref_id1","ref_id2","ref_id3","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","to","pf","tm_pts_avg","plus_minus","off_rating","def_rating","net_rating","ast_pct","ast_tov","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","usg_pct","pace","pie","avg_pie","max_usg","all_start","p1_start","p2_start","p3_start","p4_start","p5_start","away_streak","home_streak","loss_streak","win_streak","back_to_back","attendance","game_time"
21500001,"DET",1,"NBA",1,2015,2015-10-27,1,0,1472.0588,"ATL",1561.84355,"A",0.251149903268707,"E","E","1",106,94,1193,2532,2534,48,37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,106,12,106.6,97.3,9.3,0.622,1.53,15.8,0.411,0.837,0.596,0.151,0.448,0.493,0.2,98.02,0.538,0.1336,0.23,0,0,0,0,0,0,1,0,0,0,0,19187,2.18333333333333
21500002,"CLE",2,"NBA",1,2015,2015-10-27,1,0,1645.314425,"CHI",1569.533975,"A",0.465201614046288,"E","E","0",95,97,1162,2148,202049,48,38,94,0.404,9,29,0.31,10,17,0.588,11,39,50,26,5,7,10,21,95,-2,93.6,94.1,-0.5,0.684,2.36,18.8,0.216,0.848,0.515,0.108,0.452,0.468,0.198,102.3,0.521,0.1164,0.282,0,0,0,0,0,0,1,0,0,0,0,21957,2.36666666666667
21500004,"WAS",4,"NBA",1,2015,2015-10-28,1,0,1535.828375,"ORL",1360.168625,"A",0.607194009045996,"E","E","1",88,87,2001,2715,203592,48,33,84,0.393,7,28,0.25,15,25,0.6,15,34,49,17,8,9,17,14,88,1,89.8,83.4,6.4,0.515,0.94,13.1,0.278,0.667,0.467,0.184,0.435,0.463,0.198,101.14,0.518,0.1338,0.299,0,0,0,0,0,0,1,0,0,0,0,18846,2.35
21500006,"CHI",6,"NBA",1,2015,2015-10-28,2,0,1575.78212466724,"BKN",1469.5529,"A",0.506319119981456,"E","E","1",97,100,1195,202007,202041,48,37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,97,2,94.1,93.6,0.5,0.351,1,10.6,0.152,0.784,0.485,0.126,0.466,0.499,0.2,102.3,0.479,0.078,0.344,1,1,1,1,1,1,1,0,0,1,1,17732,2.21666666666667
21500007,"DET",7,"NBA",0,2015,2015-10-28,2,0,1487.76500568893,"UTA",1542.71405,"H",0.571310787174538,"E","W","1",106,87,1153,1198,203593,48,37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,106,12,106.6,97.3,9.3,0.622,1.53,15.8,0.411,0.837,0.596,0.151,0.448,0.493,0.2,98.02,0.538,0.1336,0.23,1,1,1,1,1,1,0,1,0,1,1,18434,2.31666666666667
21500008,"MIA",8,"NBA",0,2015,2015-10-28,1,0,1468.145075,"CHA",1426.797875,"H",0.69288885566134,"E","E","1",104,94,1193,1830,202026,48,36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,104,10,111.5,99.2,12.3,0.639,1.77,19.5,0.059,0.78,0.488,0.139,0.575,0.632,0.2,94,0.591,0.1136,0.336,0,0,0,0,0,0,0,1,0,0,0,19724,2.31666666666667
21500009,"IND",9,"NBA",1,2015,2015-10-28,1,0,1504.903475,"TOR",1501.545425,"A",0.364400344108606,"E","E","0",99,106,1174,1188,1363,48,32,86,0.372,9,23,0.391,26,31,0.839,8,32,40,23,14,3,13,30,99,-7,94.6,97.1,-2.5,0.719,1.77,17,0.163,0.78,0.444,0.124,0.424,0.497,0.2,106.9,0.477,0.0942,0.278,0,0,0,0,0,0,1,0,0,0,0,19800,2.58333333333333
21500010,"HOU",10,"NBA",0,2015,2015-10-28,1,0,1617.226925,"DEN",1443.02135,"H",0.828985479830186,"W","W","0",85,105,1152,101283,201638,48,30,87,0.345,8,35,0.229,17,26,0.654,15,29,44,17,13,8,16,19,85,-20,84.6,106.1,-21.5,0.567,1,12.8,0.273,0.763,0.473,0.169,0.391,0.432,0.198,99.68,0.354,0.078,0.305,0,0,0,0,0,0,0,1,0,0,0,18240,2.21666666666667
21500011,"MEM",11,"NBA",0,2015,2015-10-28,1,0,1582.509125,"CLE",1643.78737549427,"H",0.555123059055684,"W","E","0",76,106,1204,101284,201640,48,29,82,0.354,2,16,0.125,16,22,0.727,11,29,40,15,8,3,16,18,76,-30,78.6,107.6,-29,0.517,0.94,12.2,0.208,0.707,0.426,0.165,0.366,0.414,0.2,97.58,0.3,0.0664,0.238,0,0,0,0,0,0,0,1,0,0,0,18119,2.13333333333333
21500012,"MIL",12,"NBA",0,2015,2015-10-28,1,0,1458.70355,"NYK",1318.01345,"H",0.799876648220653,"E","E","0",97,122,1147,2148,204059,48,30,86,0.349,9,18,0.5,28,31,0.903,18,29,47,17,7,4,18,27,97,-25,97.4,121.5,-24.2,0.567,0.94,12.6,0.375,0.604,0.49,0.181,0.401,0.487,0.2,100.02,0.354,0.066,0.32,0,0,0,0,0,0,0,1,0,0,0,18717,2.33333333333333
