"game_id","team_id","team_name","team_abbreviation","team_city","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","to","pf","pts","plus_minus","game_date","seasongame","off_rating","def_rating","net_rating","ast_pct","ast_tov","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","usg_pct","pace","pie"
21500001,1610612737,"Hawks","ATL","Atlanta","240:00",37,82,0.451,8,27,0.296,12,15,0.8,7,33,40,22,9,4,15,25,94,-12,2015-10-27,1,97.3,106.6,-9.3,0.595,1.47,17.5,0.163,0.589,0.404,0.155,0.5,0.53,0.2,98.02,0.462
21500001,1610612765,"Pistons","DET","Detroit","240:00",37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,106,12,2015-10-27,1,106.6,97.3,9.3,0.622,1.53,15.8,0.411,0.837,0.596,0.151,0.448,0.493,0.2,98.02,0.538
21500002,1610612739,"Cavaliers","CLE","Cleveland","240:00",38,94,0.404,9,29,0.31,10,17,0.588,11,39,50,26,5,7,10,21,95,-2,2015-10-27,1,93.6,94.1,-0.5,0.684,2.36,18.8,0.216,0.848,0.515,0.108,0.452,0.468,0.198,102.3,0.521
21500002,1610612741,"Bulls","CHI","Chicago","240:00",37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,97,2,2015-10-27,1,94.1,93.6,0.5,0.351,1,10.6,0.152,0.784,0.485,0.126,0.466,0.499,0.2,102.3,0.479
21500003,1610612740,"Pelicans","NOP","New Orleans","240:00",35,83,0.422,6,18,0.333,19,27,0.704,8,25,33,21,9,3,18,26,95,-16,2015-10-27,1,89.7,106,-16.3,0.6,1.11,15.6,0.186,0.543,0.371,0.179,0.458,0.501,0.198,105.28,0.375
21500003,1610612744,"Warriors","GSW","Golden State","240:00",41,96,0.427,9,30,0.3,20,22,0.909,21,35,56,29,8,7,20,29,111,16,2015-10-27,1,106,89.7,16.3,0.707,1.45,18.7,0.457,0.814,0.629,0.191,0.474,0.525,0.2,105.28,0.625
21500004,1610612753,"Magic","ORL","Orlando","240:00",37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,14,22,87,-1,2015-10-28,1,83.4,89.8,-6.4,0.541,1.25,14.2,0.333,0.722,0.533,0.153,0.395,0.413,0.197,101.14,0.482
21500004,1610612764,"Wizards","WAS","Washington","240:00",33,84,0.393,7,28,0.25,15,25,0.6,15,34,49,17,8,9,17,14,88,1,2015-10-28,1,89.8,83.4,6.4,0.515,0.94,13.1,0.278,0.667,0.467,0.184,0.435,0.463,0.198,101.14,0.518
21500005,1610612738,"Celtics","BOS","Boston","240:00",39,85,0.459,8,24,0.333,26,27,0.963,10,31,41,31,10,7,17,23,112,17,2015-10-28,1,107.8,92.1,15.7,0.795,1.82,21.4,0.238,0.689,0.471,0.164,0.506,0.578,0.2,103.5,0.63
21500005,1610612755,"76ers","PHI","Philadelphia","240:00",34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,22,22,95,-17,2015-10-28,1,92.1,107.8,-15.7,0.353,0.5,9.3,0.311,0.762,0.529,0.233,0.452,0.51,0.197,103.5,0.37
21500006,1610612741,"Bulls","CHI","Chicago","240:00",37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,97,2,2015-10-28,2,94.1,93.6,0.5,0.351,1,10.6,0.152,0.784,0.485,0.126,0.466,0.499,0.2,102.3,0.479
21500006,1610612751,"Nets","BKN","Brooklyn","240:00",39,93,0.419,0,9,0,22,28,0.786,16,29,45,19,11,5,13,18,100,-15,2015-10-28,1,97.7,113,-15.2,0.487,1.46,13.8,0.32,0.853,0.536,0.127,0.419,0.475,0.2,102.06,0.442
21500007,1610612762,"Jazz","UTA","Utah","240:00",35,75,0.467,2,12,0.167,15,21,0.714,4,34,38,15,4,5,12,25,87,-5,2015-10-28,1,94.3,99,-4.6,0.429,1.25,13.5,0.103,0.81,0.469,0.13,0.48,0.516,0.2,92.6,0.482
21500007,1610612765,"Pistons","DET","Detroit","240:00",37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,106,12,2015-10-28,2,106.6,97.3,9.3,0.622,1.53,15.8,0.411,0.837,0.596,0.151,0.448,0.493,0.2,98.02,0.538
21500008,1610612748,"Heat","MIA","Miami","240:00",36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,104,10,2015-10-28,1,111.5,99.2,12.3,0.639,1.77,19.5,0.059,0.78,0.488,0.139,0.575,0.632,0.2,94,0.591
21500008,1610612766,"Hornets","CHA","Charlotte","240:00",33,84,0.393,6,24,0.25,22,29,0.759,11,32,43,16,4,1,8,16,94,-10,2015-10-28,1,99.2,111.5,-12.3,0.485,1.78,13.1,0.22,0.941,0.512,0.095,0.429,0.486,0.198,94,0.409
21500009,1610612754,"Pacers","IND","Indiana","240:00",32,86,0.372,9,23,0.391,26,31,0.839,8,32,40,23,14,3,13,30,99,-7,2015-10-28,1,94.6,97.1,-2.5,0.719,1.77,17,0.163,0.78,0.444,0.124,0.424,0.497,0.2,106.9,0.477
