"game_id","team_id","seasongame","avg_pie","max_usg","all_start","p1_start","p2_start","p3_start","p4_start","p5_start"
21500001,"DET",1,0.1336,0.23,0,0,0,0,0,0
21500007,"DET",2,0.1336,0.23,1,1,1,1,1,1
21500025,"DET",3,0.1342,0.25,2,2,2,2,2,2
21500054,"DET",4,0.118866666666667,0.277666666666667,3,3,3,3,3,3
21500082,"DET",5,0.11975,0.28975,4,4,4,4,4,4
21500098,"DET",6,0.1214,0.3036,5,5,5,5,5,5
21500104,"DET",7,0.1235,0.318666666666667,6,6,6,6,6,6
21500122,"DET",8,0.116142857142857,0.328,7,7,7,7,7,7
21500138,"DET",9,0.111975,0.319875,8,8,8,8,8,8
21500151,"DET",10,0.109488888888889,0.315888888888889,9,9,9,9,9,9
21500160,"DET",11,0.10406,0.3109,10,10,10,10,10,10
21500181,"DET",12,0.106545454545455,0.311636363636364,11,11,11,11,11,11
21500192,"DET",13,0.107783333333333,0.306,12,12,12,12,12,12
21500205,"DET",14,0.108507692307692,0.311461538461538,13,13,13,13,13,13
21500218,"DET",15,0.105042857142857,0.307,14,14,14,14,14,14
21500234,"DET",16,0.108293333333333,0.300466666666667,15,15,15,15,15,15
21500248,"DET",17,0.106025,0.300875,16,16,16,16,16,16
21500254,"DET",18,0.104211764705882,0.299941176470588,17,17,17,17,17,17
21500270,"DET",19,0.106333333333333,0.298666666666667,18,18,18,18,18,18
21500285,"DET",20,0.107789473684211,0.297157894736842,19,19,19,19,19,19
21500301,"DET",21,0.10843,0.29485,20,20,20,20,20,20
21500304,"DET",22,0.110571428571429,0.293190476190476,21,21,21,21,21,21
21500322,"DET",23,0.108690909090909,0.288909090909091,22,22,22,22,22,22
21500335,"DET",24,0.108339130434783,0.289304347826087,23,23,23,23,23,23
21500346,"DET",25,0.111125,0.289916666666667,24,24,24,24,24,24
21500359,"DET",26,0.111992,0.2908,25,25,25,25,25,25
21500374,"DET",27,0.111430769230769,0.292538461538462,26,26,26,26,26,26
21500391,"DET",28,0.111222222222222,0.296259259259259,27,27,27,27,27,27
21500420,"DET",29,0.11095,0.29625,28,28,28,28,28,28
21500429,"DET",30,0.110096551724138,0.295344827586207,29,29,29,29,29,29
21500446,"DET",31,0.109813333333333,0.294933333333333,30,30,30,30,30,30
21500469,"DET",32,0.108967741935484,0.294645161290323,31,31,31,31,31,31
21500486,"DET",33,0.10815625,0.2949375,32,32,32,32,32,32
21500498,"DET",34,0.108642424242424,0.293757575757576,33,33,33,33,33,33
21500514,"DET",35,0.107576470588235,0.294235294117647,34,34,34,34,34,34
21500528,"DET",36,0.107965714285714,0.293571428571429,35,35,35,35,35,35
21500553,"DET",37,0.101544444444444,0.292888888888889,0,0,36,36,36,36
21500570,"DET",38,0.108679347826087,0.291675675675676,36,36,37,37,37,37
21500589,"DET",39,0.107973544973545,0.291315789473684,37,37,38,38,38,38
21500605,"DET",40,0.107664948453608,0.288871794871795,38,38,39,39,39,39
21500619,"DET",41,0.107608040201005,0.288425,39,39,40,40,40,40
21500635,"DET",42,0.107495098039216,0.288195121951219,40,40,41,41,41,41
21500641,"DET",43,0.107598086124402,0.286690476190476,41,41,42,42,42,42
21500661,"DET",44,0.106411214953271,0.285372093023256,42,42,43,43,43,43
21500673,"DET",45,0.105369863013699,0.285090909090909,43,43,44,44,44,44
21500686,"DET",46,0.105638392857143,0.286333333333333,44,44,45,45,45,45
21500699,"DET",47,0.105707423580786,0.28604347826087,45,45,46,46,46,46
21500708,"DET",48,0.103845493562232,0.285957446808511,0,46,0,47,47,47
21500722,"DET",49,0.104802521008403,0.284708333333333,46,47,47,48,48,48
21500737,"DET",50,0.104777777777778,0.284408163265306,47,48,48,49,49,49
21500746,"DET",51,0.0998145161290323,0.28246,0,49,49,50,1,50
21500762,"DET",52,0.100075098814229,0.282862745098039,1,50,50,51,2,51
21500779,"DET",53,0.0993565891472868,0.28225,2,51,51,52,3,52
21500794,"DET",54,0.0883491379310345,0.245301886792453,0,52,1,53,4,0
21500806,"DET",55,0.10180608365019,0.277833333333333,1,53,2,54,50,53
21500823,"DET",56,0.100746268656716,0.278472727272727,2,54,3,55,51,54
21500833,"DET",57,0.107813636363636,0.279071428571429,0,0,55,56,52,55
21500847,"DET",58,0.108364444444444,0.279561403508772,1,1,56,57,53,56
21500873,"DET",59,0.109917391304348,0.280379310344828,2,2,57,58,54,57
21500879,"DET",60,0.110417021276596,0.279542372881356,3,3,58,59,55,58
21500905,"DET",61,0.111195833333333,0.279483333333333,4,4,59,60,56,59
21500923,"DET",62,0.110269387755102,0.279540983606557,5,5,60,61,57,60
21500934,"DET",63,0.108992,0.280322580645161,6,6,61,62,58,61
21500954,"DET",64,0.109501960784314,0.28047619047619,7,7,62,63,59,62
21500963,"DET",65,0.109573076923077,0.279484375,8,8,63,64,60,63
21500976,"DET",66,0.10897358490566,0.279646153846154,9,9,64,65,61,64
21500989,"DET",67,0.109314814814815,0.278833333333333,10,10,65,66,62,65
21501007,"DET",68,0.108221818181818,0.278820895522388,11,11,66,67,63,66
21501022,"DET",69,0.108207142857143,0.278838235294118,12,12,67,68,64,67
21501030,"DET",70,0.108428070175439,0.279652173913043,13,13,68,69,65,68
21501047,"DET",71,0.1081,0.279457142857143,14,14,69,70,66,69
21501058,"DET",72,0.117344827586207,0.278450704225352,0,15,70,71,0,70
21501074,"DET",73,0.108451505016722,0.278583333333333,15,16,71,72,67,71
21501085,"DET",74,0.108509868421053,0.279630136986301,16,17,72,73,68,72
21501110,"DET",75,0.108032362459547,0.278243243243243,17,18,73,74,69,73
21501129,"DET",76,0.108566878980892,0.278626666666667,18,19,74,75,70,74
21501139,"DET",77,0.108476489028213,0.27925,19,20,75,76,71,75
21501155,"DET",78,0.108484567901235,0.280285714285714,20,21,76,77,72,76
21501166,"DET",79,0.107823708206687,0.281192307692308,21,22,77,78,73,77
21501182,"DET",80,0.107811377245509,0.281860759493671,22,23,78,79,74,78
21501213,"DET",81,0.0986392405063291,0.23925,0,24,79,80,75,0
21501220,"DET",82,0.0817697160883281,0.18558024691358,0,4,5,0,1,1
21500001,"ATL",1,0.0692,0.341,0,0,0,0,0,0
21500019,"ATL",2,0.0692,0.341,1,1,1,1,1,1
21500026,"ATL",3,0.1309,0.305,0,2,2,2,2,0
21500039,"ATL",4,0.112714285714286,0.281333333333333,2,3,3,3,2,3
21500055,"ATL",5,0.112894736842105,0.2805,3,4,4,4,3,4
21500062,"ATL",6,0.12312,0.2808,1,5,5,5,1,5
21500081,"ATL",7,0.120285714285714,0.2745,4,6,6,6,4,6
21500086,"ATL",8,0.120484848484848,0.28,5,7,7,7,5,7
