"game_id","team_abbreviation","team_name","game_date","matchup","wl","hometeam","awayteam","hometeam_wl","away_streak","home_streak","loss_streak","win_streak","back_to_back","attendance","game_time"
21500001,"DET","Detroit Pistons",2015-10-27,"DET @ ATL","W","ATL","DET","L",1,0,0,0,0,19187,"2:11"
21500001,"ATL","Atlanta Hawks",2015-10-27,"ATL vs. DET","L","ATL","DET","L",0,1,0,0,0,19187,"2:11"
21500002,"CLE","Cleveland Cavaliers",2015-10-27,"CLE @ CHI","L","CHI","CLE","W",1,0,0,0,0,21957,"2:22"
21500002,"CHI","Chicago Bulls",2015-10-27,"CHI vs. CLE","W","CHI","CLE","W",0,1,0,0,0,21957,"2:22"
21500003,"GSW","Golden State Warriors",2015-10-27,"GSW vs. NOP","W","GSW","NOP","W",0,1,0,0,0,19596,"2:25"
21500003,"NOP","New Orleans Pelicans",2015-10-27,"NOP @ GSW","L","GSW","NOP","W",1,0,0,0,0,19596,"2:25"
21500004,"WAS","Washington Wizards",2015-10-28,"WAS @ ORL","W","ORL","WAS","L",1,0,0,0,0,18846,"2:21"
21500004,"ORL","Orlando Magic",2015-10-28,"ORL vs. WAS","L","ORL","WAS","L",0,1,0,0,0,18846,"2:21"
21500005,"BOS","Boston Celtics",2015-10-28,"BOS vs. PHI","W","BOS","PHI","W",0,1,0,0,0,18624,"2:14"
21500005,"PHI","Philadelphia 76ers",2015-10-28,"PHI @ BOS","L","BOS","PHI","W",1,0,0,0,0,18624,"2:14"
21500006,"BKN","Brooklyn Nets",2015-10-28,"BKN vs. CHI","L","BKN","CHI","L",0,1,0,0,0,17732,"2:13"
21500006,"CHI","Chicago Bulls",2015-10-28,"CHI @ BKN","W","BKN","CHI","L",1,0,0,1,1,17732,"2:13"
21500007,"UTA","Utah Jazz",2015-10-28,"UTA @ DET","L","DET","UTA","W",1,0,0,0,0,18434,"2:19"
21500007,"DET","Detroit Pistons",2015-10-28,"DET vs. UTA","W","DET","UTA","W",0,1,0,1,1,18434,"2:19"
21500008,"MIA","Miami Heat",2015-10-28,"MIA vs. CHA","W","MIA","CHA","W",0,1,0,0,0,19724,"2:19"
21500008,"CHA","Charlotte Hornets",2015-10-28,"CHA @ MIA","L","MIA","CHA","W",1,0,0,0,0,19724,"2:19"
21500009,"TOR","Toronto Raptors",2015-10-28,"TOR vs. IND","W","TOR","IND","W",0,1,0,0,0,19800,"2:35"
21500009,"IND","Indiana Pacers",2015-10-28,"IND @ TOR","L","TOR","IND","W",1,0,0,0,0,19800,"2:35"
21500010,"DEN","Denver Nuggets",2015-10-28,"DEN @ HOU","W","HOU","DEN","L",1,0,0,0,0,18240,"2:13"
21500010,"HOU","Houston Rockets",2015-10-28,"HOU vs. DEN","L","HOU","DEN","L",0,1,0,0,0,18240,"2:13"
21500011,"CLE","Cleveland Cavaliers",2015-10-28,"CLE @ MEM","W","MEM","CLE","L",2,0,1,0,1,18119,"2:08"
21500011,"MEM","Memphis Grizzlies",2015-10-28,"MEM vs. CLE","L","MEM","CLE","L",0,1,0,0,0,18119,"2:08"
21500012,"NYK","New York Knicks",2015-10-28,"NYK @ MIL","W","MIL","NYK","L",1,0,0,0,0,18717,"2:20"
21500012,"MIL","Milwaukee Bucks",2015-10-28,"MIL vs. NYK","L","MIL","NYK","L",0,1,0,0,0,18717,"2:20"
21500013,"OKC","Oklahoma City Thunder",2015-10-28,"OKC vs. SAS","W","OKC","SAS","W",0,1,0,0,0,18203,"2:19"
