"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast"
1,21500001,"NBA",0,2015,"2015-10-27",1,0,"ATL",NA,94,1561.84355,1552.80506127878,NA,"DET",NA,106,1472.0588,1487.76500568893,"H","L",0.626409157041911
1,21500001,"NBA",1,2015,"2015-10-27",1,0,"DET",NA,106,1472.0588,1487.76500568893,NA,"ATL",NA,94,1561.84355,1552.80506127878,"A","W",0.373590842958089
2,21500002,"NBA",0,2015,"2015-10-27",1,0,"CHI",NA,97,1569.533975,1575.78212466724,NA,"CLE",NA,95,1645.314425,1643.78737549427,"H","W",0.392640285735329
2,21500002,"NBA",1,2015,"2015-10-27",1,0,"CLE",NA,95,1645.314425,1643.78737549427,NA,"CHI",NA,97,1569.533975,1575.78212466724,"A","L",0.607359714264671
3,21500003,"NBA",0,2015,"2015-10-27",1,0,"GSW",NA,111,1742.966075,1748.17456979451,NA,"NOP",NA,95,1521.178175,1515.67483235538,"H","W",0.781889870026199
3,21500003,"NBA",1,2015,"2015-10-27",1,0,"NOP",NA,95,1521.178175,1515.67483235538,NA,"GSW",NA,111,1742.966075,1748.17456979451,"A","L",0.218110129973801
4,21500004,"NBA",0,2015,"2015-10-28",1,0,"ORL",NA,87,1360.168625,1358.72762475879,NA,"WAS",NA,88,1535.828375,1537.71903749115,"H","L",0.266749220205417
4,21500004,"NBA",1,2015,"2015-10-28",1,0,"WAS",NA,88,1535.828375,1537.71903749115,NA,"ORL",NA,87,1360.168625,1358.72762475879,"A","W",0.733250779794583
5,21500005,"NBA",0,2015,"2015-10-28",1,0,"BOS",NA,112,1519.678625,1526.17882283393,NA,"PHI",NA,95,1333.391825,1326.7936834655,"H","W",0.745044137899748
5,21500005,"NBA",1,2015,"2015-10-28",1,0,"PHI",NA,95,1333.391825,1326.7936834655,NA,"BOS",NA,112,1519.678625,1526.17882283393,"A","L",0.254955862100252
6,21500006,"NBA",1,2015,"2015-10-28",2,0,"CHI",NA,115,1575.78212466724,1584.51095097038,NA,"BKN",NA,100,1469.5529,1462.06987929117,"A","W",0.648283939056264
6,21500006,"NBA",0,2015,"2015-10-28",1,0,"BKN",NA,100,1469.5529,1462.06987929117,NA,"CHI",NA,115,1575.78212466724,1584.51095097038,"H","L",0.351716060943736
7,21500007,"NBA",0,2015,"2015-10-28",2,0,"DET",NA,92,1487.76500568893,1496.28053282052,NA,"UTA",NA,87,1542.71405,1540.14154389668,"H","W",0.421574773043214
7,21500007,"NBA",1,2015,"2015-10-28",1,0,"UTA",NA,87,1542.71405,1540.14154389668,NA,"DET",NA,92,1487.76500568893,1496.28053282052,"A","L",0.578425226956786
