GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
0021500001,1610612765,Pistons,DET,Detroit,240:00,106.6,97.3,9.3,0.622,1.53,15.8,0.411,0.837,0.596,0.151,0.448,0.493,0.2,98.02,0.538
0021500001,1610612737,Hawks,ATL,Atlanta,240:00,97.3,106.6,-9.3,0.595,1.47,17.5,0.163,0.589,0.404,0.155,0.5,0.53,0.2,98.02,0.462
0021500002,1610612739,Cavaliers,CLE,Cleveland,240:00,93.6,94.1,-0.5,0.684,2.36,18.8,0.216,0.848,0.515,0.108,0.452,0.468,0.198,102.3,0.521
0021500002,1610612741,Bulls,CHI,Chicago,240:00,94.1,93.6,0.5,0.351,1.0,10.6,0.152,0.784,0.485,0.126,0.466,0.499,0.2,102.3,0.479
0021500003,1610612740,Pelicans,NOP,New Orleans,240:00,89.7,106.0,-16.3,0.6,1.11,15.6,0.186,0.543,0.371,0.179,0.458,0.501,0.198,105.28,0.375
0021500003,1610612744,Warriors,GSW,Golden State,240:00,106.0,89.7,16.3,0.707,1.45,18.7,0.457,0.814,0.629,0.191,0.474,0.525,0.2,105.28,0.625
0021500004,1610612764,Wizards,WAS,Washington,240:00,89.8,83.4,6.4,0.515,0.94,13.1,0.278,0.667,0.467,0.184,0.435,0.463,0.198,101.14,0.518
0021500004,1610612753,Magic,ORL,Orlando,240:00,83.4,89.8,-6.4,0.541,1.25,14.2,0.333,0.722,0.533,0.153,0.395,0.413,0.197,101.14,0.482
0021500005,1610612755,76ers,PHI,Philadelphia,240:00,92.1,107.8,-15.7,0.353,0.5,9.3,0.311,0.762,0.529,0.233,0.452,0.51,0.197,103.5,0.37
0021500005,1610612738,Celtics,BOS,Boston,240:00,107.8,92.1,15.7,0.795,1.82,21.4,0.238,0.689,0.471,0.164,0.506,0.578,0.2,103.5,0.63
