PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,GAMES_PLAYED_FLAG,ht_feet,ht_inches
201143,Al,Horford,Al Horford,"Horford, Al",A. Horford,1986-06-03T00:00:00,Florida,Dominican Republic,Florida/Dominican Republic,245,8,15,Center-Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,al_horford,2007,2015,N,Y,6,10
203471,Dennis,Schroder,Dennis Schroder,"Schroder, Dennis",D. Schroder,1993-09-15T00:00:00,Germany,Germany,Germany,172,2,17,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,dennis_schroder,2013,2015,Y,Y,6,1
201952,Jeff,Teague,Jeff Teague,"Teague, Jeff",J. Teague,1988-06-10T00:00:00,Wake Forest,USA,Wake Forest/USA,186,6,0,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,jeff_teague,2009,2015,N,Y,6,2
203200,Justin,Holiday,Justin Holiday,"Holiday, Justin",J. Holiday,1989-04-05T00:00:00,Washington,USA,Washington/USA,185,2,7,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,justin_holiday,2012,2015,Y,Y,6,6
203145,Kent,Bazemore,Kent Bazemore,"Bazemore, Kent",K. Bazemore,1989-07-01T00:00:00,Old Dominion,USA,Old Dominion/USA,201,3,24,Forward-Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,kent_bazemore,2012,2015,Y,Y,6,5
2550,Kirk,Hinrich,Kirk Hinrich,"Hinrich, Kirk",K. Hinrich,1981-01-02T00:00:00,Kansas,USA,Kansas/USA,190,12,12,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,kirk_hinrich,2003,2015,N,Y,6,4
2743,Kris,Humphries,Kris Humphries,"Humphries, Kris",K. Humphries,1985-02-06T00:00:00,Minnesota,USA,Minnesota/USA,235,11,43,Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,kris_humphries,2004,2015,N,Y,6,9
2594,Kyle,Korver,Kyle Korver,"Korver, Kyle",K. Korver,1981-03-17T00:00:00,Creighton,USA,Creighton/USA,212,12,26,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,kyle_korver,2003,2015,N,Y,6,7
203934,Lamar,Patterson,Lamar Patterson,"Patterson, Lamar",L. Patterson,1991-08-12T00:00:00,Pittsburgh,USA,Pittsburgh/USA,225,0,13,Guard-Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,lamar_patterson,2015,2015,Y,Y,6,5
203488,Mike,Muscala,Mike Muscala,"Muscala, Mike",M. Muscala,1991-07-01T00:00:00,Bucknell,USA,Bucknell/USA,240,2,31,Forward-Center,Active,1610612737,Hawks,ATL,hawks,Atlanta,mike_muscala,2013,2015,Y,Y,6,11
203118,Mike,Scott,Mike Scott,"Scott, Mike",M. Scott,1988-07-16T00:00:00,Virginia,USA,Virginia/USA,237,3,32,Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,mike_scott,2012,2015,Y,Y,6,8
200794,Paul,Millsap,Paul Millsap,"Millsap, Paul",P. Millsap,1985-02-10T00:00:00,Louisiana Tech,USA,Louisiana Tech/USA,246,9,4,Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,paul_millsap,2006,2015,N,Y,6,8
202714,Shelvin,Mack,Shelvin Mack,"Mack, Shelvin",S. Mack,1990-04-22T00:00:00,Butler,USA,Butler/USA,203,4,8,Guard,Active,1610612762,Jazz,UTA,jazz,Utah,shelvin_mack,2011,2015,Y,Y,6,3
200757,Thabo,Sefolosha,Thabo Sefolosha,"Sefolosha, Thabo",T. Sefolosha,1984-05-02T00:00:00,"Vevey, Switzerland",Switzerland,Angelico Biella/Switzerland,220,9,25,Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,thabo_sefolosha,2006,2015,N,Y,6,7
201168,Tiago,Splitter,Tiago Splitter,"Splitter, Tiago",T. Splitter,1985-01-01T00:00:00,"Blumenau, Brazil",Brazil,Saski Baskonia/Brazil,245,5,11,Center-Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,tiago_splitter,2010,2015,N,Y,6,11
203501,Tim,Hardaway Jr.,Tim Hardaway Jr.,"Hardaway Jr., Tim",T. Hardaway Jr.,1992-03-16T00:00:00,Michigan,USA,Michigan/USA,205,2,10,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,timothy_hardaway,2013,2015,Y,Y,6,6
204002,Walter,Tavares,Walter Tavares,"Tavares, Walter",W. Tavares,1992-03-22T00:00:00,,Cape Verde,Cape Verde,260,0,22,Center,Active,1610612737,Hawks,ATL,hawks,Atlanta,walter_tavares,2015,2015,Y,Y,7,3
101161,Amir,Johnson,Amir Johnson,"Johnson, Amir",A. Johnson,1987-05-01T00:00:00,Westchester HS (Los Angeles),USA,"Westchester HS (Los Angeles, CA)/USA",240,10,90,Forward,Active,1610612738,Celtics,BOS,celtics,Boston,amir_johnson,2005,2015,Y,Y,6,9
202340,Avery,Bradley,Avery Bradley,"Bradley, Avery",A. Bradley,1990-11-26T00:00:00,Texas,USA,Texas/USA,180,5,0,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,avery_bradley,2010,2015,Y,Y,6,2
1626262,Coty,Clarke,Coty Clarke,"Clarke, Coty",C. Clarke,1992-07-04T00:00:00,,,,,0,,,Inactive,0,,,,,coty_clarke,2015,2015,Y,Y,,
101135,David,Lee,David Lee,"Lee, David",D. Lee,1983-04-29T00:00:00,Florida,USA,Florida/USA,245,10,42,Forward-Center,Active,1610612742,Mavericks,DAL,mavericks,Dallas,david_lee,2005,2015,N,Y,6,9
202323,Evan,Turner,Evan Turner,"Turner, Evan",E. Turner,1988-10-27T00:00:00,Ohio State,USA,Ohio State/USA,220,5,11,Guard-Forward,Active,1610612738,Celtics,BOS,celtics,Boston,evan_turner,2010,2015,N,Y,6,7
202738,Isaiah,Thomas,Isaiah Thomas,"Thomas, Isaiah",I. Thomas,1989-02-07T00:00:00,Washington,USA,Washington/USA,185,4,4,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,isaiah_thomas,2011,2015,N,Y,5,9
203109,Jae,Crowder,Jae Crowder,"Crowder, Jae",J. Crowder,1990-07-06T00:00:00,Marquette,USA,Marquette/USA,235,3,99,Forward,Active,1610612738,Celtics,BOS,celtics,Boston,jae_crowder,2012,2015,Y,Y,6,6
