"GAME_ID","GAME_DATE","MATCHUP","HomeTeam","AwayTeam","HomeTeam_WL"
21500001,"2015-10-27","ATL vs. DET","ATL","DET","L"
21500002,"2015-10-27","CHI vs. CLE","CHI","CLE","W"
21500003,"2015-10-27","GSW vs. NOP","GSW","NOP","W"
21500004,"2015-10-28","ORL vs. WAS","ORL","WAS","L"
21500005,"2015-10-28","BOS vs. PHI","BOS","PHI","W"
21500006,"2015-10-28","BKN vs. CHI","BKN","CHI","L"
21500007,"2015-10-28","DET vs. UTA","DET","UTA","W"
21500008,"2015-10-28","MIA vs. CHA","MIA","CHA","W"
21500009,"2015-10-28","TOR vs. IND","TOR","IND","W"
21500010,"2015-10-28","HOU vs. DEN","HOU","DEN","L"
21500011,"2015-10-28","MEM vs. CLE","MEM","CLE","L"
21500012,"2015-10-28","MIL vs. NYK","MIL","NYK","L"
21500013,"2015-10-28","OKC vs. SAS","OKC","SAS","W"
21500014,"2015-10-28","PHX vs. DAL","PHX","DAL","L"
21500015,"2015-10-28","POR vs. NOP","POR","NOP","W"
21500016,"2015-10-28","SAC vs. LAC","SAC","LAC","L"
21500017,"2015-10-28","LAL vs. MIN","LAL","MIN","L"
21500018,"2015-10-29","IND vs. MEM","IND","MEM","L"
21500019,"2015-10-29","NYK vs. ATL","NYK","ATL","L"
21500020,"2015-10-29","LAC vs. DAL","LAC","DAL","W"
21500021,"2015-10-30","CLE vs. MIA","CLE","MIA","W"
21500022,"2015-10-30","ORL vs. OKC","ORL","OKC","L"
21500023,"2015-10-30","PHI vs. UTA","PHI","UTA","L"
21500024,"2015-10-30","BOS vs. TOR","BOS","TOR","L"
21500025,"2015-10-30","DET vs. CHI","DET","CHI","W"
21500026,"2015-10-30","ATL vs. CHA","ATL","CHA","W"
21500027,"2015-10-30","MIL vs. WAS","MIL","WAS","L"
21500028,"2015-10-30","SAS vs. BKN","SAS","BKN","W"
21500029,"2015-10-30","DEN vs. MIN","DEN","MIN","L"
21500030,"2015-10-30","HOU vs. GSW","HOU","GSW","L"
21500031,"2015-10-30","SAC vs. LAL","SAC","LAL","W"
21500032,"2015-10-30","PHX vs. POR","PHX","POR","W"
21500033,"2015-10-31","IND vs. UTA","IND","UTA","L"
21500034,"2015-10-31","WAS vs. NYK","WAS","NYK","L"
21500035,"2015-10-31","NOP vs. GSW","NOP","GSW","L"
21500036,"2015-10-31","MEM vs. BKN","MEM","BKN","W"
21500037,"2015-10-31","POR vs. PHX","POR","PHX","L"
21500038,"2015-10-31","LAC vs. SAC","LAC","SAC","W"
21500039,"2015-11-01","CHA vs. ATL","CHA","ATL","L"
21500040,"2015-11-01","BOS vs. SAS","BOS","SAS","L"
21500041,"2015-11-01","MIA vs. HOU","MIA","HOU","W"
21500042,"2015-11-01","TOR vs. MIL","TOR","MIL","W"
21500043,"2015-11-01","CHI vs. ORL","CHI","ORL","W"
21500044,"2015-11-01","OKC vs. DEN","OKC","DEN","W"
21500045,"2015-11-01","LAL vs. DAL","LAL","DAL","L"
21500046,"2015-11-02","PHI vs. CLE","PHI","CLE","L"
21500047,"2015-11-02","BKN vs. MIL","BKN","MIL","L"
21500048,"2015-11-02","NYK vs. SAS","NYK","SAS","L"
21500049,"2015-11-02","HOU vs. OKC","HOU","OKC","W"
21500050,"2015-11-02","MIN vs. POR","MIN","POR","L"
21500051,"2015-11-02","GSW vs. MEM","GSW","MEM","W"
21500052,"2015-11-02","LAC vs. PHX","LAC","PHX","W"
21500053,"2015-11-03","CHA vs. CHI","CHA","CHI","W"
21500054,"2015-11-03","DET vs. IND","DET","IND","L"
21500055,"2015-11-03","MIA vs. ATL","MIA","ATL","L"
